"","TagID","LastObs","BranchNum","Group","AssignSpawnSite","AssignSpawnNode","TagPath","PtagisEventSites","PtagisLastEventSite","PtagisLastEventDate","PtagisEventLastSpawnSite"
"37","384.3B23ACEA6A",2016-03-12 08:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","3/12/2016 18:49:17","JOC"
"38","384.3B23ACEA6D",2016-03-06 13:11:56,19,"GrandeRonde","CCW","CCWB0","GRA, CCWB0","GRA(O),CATHEC(R),CCW(O)","CCW","3/6/2016 13:11:56","CATHEC"
"39","384.3B23ACEA7D",2016-04-20 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/20/2016 13:47:45","JOC"
"40","384.3B23ACEB19",2016-02-15 08:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOC(O),JOC(O),JOSEPC(R)","JOSEPC","2/15/2016 8:00:00","JOC"
"41","384.3B23ACEBA4",2016-04-14 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0","GRA(O),JOC(O),JOC(O),JOSEPC(M),JOC(O)","JOC","3/19/2017 22:02:32","JOC"
"42","384.3B23ACEC89",2016-03-13 16:49:58,19,"GrandeRonde","CCW","CCWA0","GRA, UGR, CCWB0, CCWA0","GRA(O),UGR(O),CATHEC(R),CCW(O)","CCW","3/13/2016 16:49:58","CATHEC"
"43","384.3B23ACED40",2016-03-22 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R)","JOSEPC","3/22/2016 7:00:00","JOC"
"44","384.3B23ACF245",2016-03-16 20:30:39,19,"GrandeRonde","CCW","CCWA0","GRA, UGR, CCWA0, GRA","GRA(O),UGR(O),CATHEC(R),CCW(O),LGR(R)","LGR","4/24/2016 12:00:00","CATHEC"
"45","384.3B23ACF25E",2016-05-01 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCB0","GRA(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","5/1/2016 23:37:02","JOC"
"46","384.3B23ACF37A",2016-04-06 19:31:47,19,"GrandeRonde","CCW","CCWA0","GRA, UGR, CCWB0, CCWA0, CCWB0","GRA(O),CATHEC(R),UGR(O),CCW(O)","CCW","4/6/2016 19:47:21","CATHEC"
