"SiteID","path","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11"
"WELLD1","GRA.Below_GRA.Below_GRA_Other.WELLD1","GRA","Below_GRA","Below_GRA_Other","WELLD1","","","","","","",""
"WELLD2","GRA.Below_GRA.Below_GRA_Other.WELLD2","GRA","Below_GRA","Below_GRA_Other","WELLD2","","","","","","",""
"WELSBR","GRA.Below_GRA.Below_GRA_Other.WELSBR","GRA","Below_GRA","Below_GRA_Other","WELSBR","","","","","","",""
"WELTAL","GRA.Below_GRA.Below_GRA_Other.WELTAL","GRA","Below_GRA","Below_GRA_Other","WELTAL","","","","","","",""
"WENA2T","GRA.Below_GRA.Below_GRA_Other.WENA2T","GRA","Below_GRA","Below_GRA_Other","WENA2T","","","","","","",""
"WENA3T","GRA.Below_GRA.Below_GRA_Other.WENA3T","GRA","Below_GRA","Below_GRA_Other","WENA3T","","","","","","",""
"WENA4T","GRA.Below_GRA.Below_GRA_Other.WENA4T","GRA","Below_GRA","Below_GRA_Other","WENA4T","","","","","","",""
"WENASC","GRA.Below_GRA.Below_GRA_Other.WENASC","GRA","Below_GRA","Below_GRA_Other","WENASC","","","","","","",""
"WENATL","GRA.Below_GRA.Below_GRA_Other.WENATL","GRA","Below_GRA","Below_GRA_Other","WENATL","","","","","","",""
"WENATR","GRA.Below_GRA.Below_GRA_Other.WENATR","GRA","Below_GRA","Below_GRA_Other","WENATR","","","","","","",""
"WENATT","GRA.Below_GRA.Below_GRA_Other.WENATT","GRA","Below_GRA","Below_GRA_Other","WENATT","","","","","","",""
"WFC","GRA.Below_GRA.Below_GRA_Other.WFC","GRA","Below_GRA","Below_GRA_Other","WFC","","","","","","",""
"WFF","GRA.Below_GRA.Below_GRA_Other.WFF","GRA","Below_GRA","Below_GRA_Other","WFF","","","","","","",""
"WHC","GRA.Below_GRA.Below_GRA_Other.WHC","GRA","Below_GRA","Below_GRA_Other","WHC","","","","","","",""
"WHEELC","GRA.Below_GRA.Below_GRA_Other.WHEELC","GRA","Below_GRA","Below_GRA_Other","WHEELC","","","","","","",""
"WHITEC","GRA.Below_GRA.Below_GRA_Other.WHITEC","GRA","Below_GRA","Below_GRA_Other","WHITEC","","","","","","",""
"WHITER","GRA.Below_GRA.Below_GRA_Other.WHITER","GRA","Below_GRA","Below_GRA_Other","WHITER","","","","","","",""
"WHITPC","GRA.Below_GRA.Below_GRA_Other.WHITPC","GRA","Below_GRA","Below_GRA_Other","WHITPC","","","","","","",""
"WHITSR","GRA.Below_GRA.Below_GRA_Other.WHITSR","GRA","Below_GRA","Below_GRA_Other","WHITSR","","","","","","",""
"WHITWF","GRA.Below_GRA.Below_GRA_Other.WHITWF","GRA","Below_GRA","Below_GRA_Other","WHITWF","","","","","","",""
"WHS","GRA.Below_GRA.Below_GRA_Other.WHS","GRA","Below_GRA","Below_GRA_Other","WHS","","","","","","",""
"WHSH","GRA.Below_GRA.Below_GRA_Other.WHSH","GRA","Below_GRA","Below_GRA_Other","WHSH","","","","","","",""
"WIDOWC","GRA.Below_GRA.Below_GRA_Other.WIDOWC","GRA","Below_GRA","Below_GRA_Other","WIDOWC","","","","","","",""
"WILD2C","GRA.Below_GRA.Below_GRA_Other.WILD2C","GRA","Below_GRA","Below_GRA_Other","WILD2C","","","","","","",""
"WILDSC","GRA.Below_GRA.Below_GRA_Other.WILDSC","GRA","Below_GRA","Below_GRA_Other","WILDSC","","","","","","",""
"WILH","GRA.Below_GRA.Below_GRA_Other.WILH","GRA","Below_GRA","Below_GRA_Other","WILH","","","","","","",""
"WILL","GRA.Below_GRA.Below_GRA_Other.WILL","GRA","Below_GRA","Below_GRA_Other","WILL","","","","","","",""
"WILL2C","GRA.Below_GRA.Below_GRA_Other.WILL2C","GRA","Below_GRA","Below_GRA_Other","WILL2C","","","","","","",""
"WILLR1","GRA.Below_GRA.Below_GRA_Other.WILLR1","GRA","Below_GRA","Below_GRA_Other","WILLR1","","","","","","",""
"WILLR2","GRA.Below_GRA.Below_GRA_Other.WILLR2","GRA","Below_GRA","Below_GRA_Other","WILLR2","","","","","","",""
"WILLR3","GRA.Below_GRA.Below_GRA_Other.WILLR3","GRA","Below_GRA","Below_GRA_Other","WILLR3","","","","","","",""
"WILMOC","GRA.Below_GRA.Below_GRA_Other.WILMOC","GRA","Below_GRA","Below_GRA_Other","WILMOC","","","","","","",""
"WILPB","GRA.Below_GRA.Below_GRA_Other.WILPB","GRA","Below_GRA","Below_GRA_Other","WILPB","","","","","","",""
"WILRMF","GRA.Below_GRA.Below_GRA_Other.WILRMF","GRA","Below_GRA","Below_GRA_Other","WILRMF","","","","","","",""
"WILSN2","GRA.Below_GRA.Below_GRA_Other.WILSN2","GRA","Below_GRA","Below_GRA_Other","WILSN2","","","","","","",""
"WILSNC","GRA.Below_GRA.Below_GRA_Other.WILSNC","GRA","Below_GRA","Below_GRA_Other","WILSNC","","","","","","",""
"WIND2R","GRA.Below_GRA.Below_GRA_Other.WIND2R","GRA","Below_GRA","Below_GRA_Other","WIND2R","","","","","","",""
"WINT","GRA.Below_GRA.Below_GRA_Other.WINT","GRA","Below_GRA","Below_GRA_Other","WINT","","","","","","",""
"WINTBC","GRA.Below_GRA.Below_GRA_Other.WINTBC","GRA","Below_GRA","Below_GRA_Other","WINTBC","","","","","","",""
"WL1","GRA.Below_GRA.Below_GRA_Other.WL1","GRA","Below_GRA","Below_GRA_Other","WL1","","","","","","",""
"WL2","GRA.Below_GRA.Below_GRA_Other.WL2","GRA","Below_GRA","Below_GRA_Other","WL2","","","","","","",""
"WLT","GRA.Below_GRA.Below_GRA_Other.WLT","GRA","Below_GRA","Below_GRA_Other","WLT","","","","","","",""
"WOLFC","GRA.Below_GRA.Below_GRA_Other.WOLFC","GRA","Below_GRA","Below_GRA_Other","WOLFC","","","","","","",""
"WOODIS","GRA.Below_GRA.Below_GRA_Other.WOODIS","GRA","Below_GRA","Below_GRA_Other","WOODIS","","","","","","",""
"WOPTXD","GRA.Below_GRA.Below_GRA_Other.WOPTXD","GRA","Below_GRA","Below_GRA_Other","WOPTXD","","","","","","",""
"WPJ","GRA.Below_GRA.Below_GRA_Other.WPJ","GRA","Below_GRA","Below_GRA_Other","WPJ","","","","","","",""
"WPT","GRA.Below_GRA.Below_GRA_Other.WPT","GRA","Below_GRA","Below_GRA_Other","WPT","","","","","","",""
"WPX","GRA.Below_GRA.Below_GRA_Other.WPX","GRA","Below_GRA","Below_GRA_Other","WPX","","","","","","",""
"WPXTAL","GRA.Below_GRA.Below_GRA_Other.WPXTAL","GRA","Below_GRA","Below_GRA_Other","WPXTAL","","","","","","",""
"WRNFMF","GRA.Below_GRA.Below_GRA_Other.WRNFMF","GRA","Below_GRA","Below_GRA_Other","WRNFMF","","","","","","",""
"WRP","GRA.Below_GRA.Below_GRA_Other.WRP","GRA","Below_GRA","Below_GRA_Other","WRP","","","","","","",""
"WRU","GRA.Below_GRA.Below_GRA_Other.WRU","GRA","Below_GRA","Below_GRA_Other","WRU","","","","","","",""
"WSH","GRA.Below_GRA.Below_GRA_Other.WSH","GRA","Below_GRA","Below_GRA_Other","WSH","","","","","","",""
"WSPH","GRA.Below_GRA.Below_GRA_Other.WSPH","GRA","Below_GRA","Below_GRA_Other","WSPH","","","","","","",""
"WSR","GRA.Below_GRA.Below_GRA_Other.WSR","GRA","Below_GRA","Below_GRA_Other","WSR","","","","","","",""
"WTL","GRA.Below_GRA.Below_GRA_Other.WTL","GRA","Below_GRA","Below_GRA_Other","WTL","","","","","","",""
"WW1","GRA.Below_GRA.Below_GRA_Other.WW1","GRA","Below_GRA","Below_GRA_Other","WW1","","","","","","",""
"WW2","GRA.Below_GRA.Below_GRA_Other.WW2","GRA","Below_GRA","Below_GRA_Other","WW2","","","","","","",""
"WYCHUC","GRA.Below_GRA.Below_GRA_Other.WYCHUC","GRA","Below_GRA","Below_GRA_Other","WYCHUC","","","","","","",""
"WZDF","GRA.Below_GRA.Below_GRA_Other.WZDF","GRA","Below_GRA","Below_GRA_Other","WZDF","","","","","","",""
"Y1J","GRA.Below_GRA.Below_GRA_Other.Y1J","GRA","Below_GRA","Below_GRA_Other","Y1J","","","","","","",""
"YAKIM1","GRA.Below_GRA.Below_GRA_Other.YAKIM1","GRA","Below_GRA","Below_GRA_Other","YAKIM1","","","","","","",""
"YAKIM2","GRA.Below_GRA.Below_GRA_Other.YAKIM2","GRA","Below_GRA","Below_GRA_Other","YAKIM2","","","","","","",""
"YELHKC","GRA.Below_GRA.Below_GRA_Other.YELHKC","GRA","Below_GRA","Below_GRA_Other","YELHKC","","","","","","",""
"YHC","GRA.Below_GRA.Below_GRA_Other.YHC","GRA","Below_GRA","Below_GRA_Other","YHC","","","","","","",""
"YOUNGB","GRA.Below_GRA.Below_GRA_Other.YOUNGB","GRA","Below_GRA","Below_GRA_Other","YOUNGB","","","","","","",""
"ZSL","GRA.Below_GRA.Below_GRA_Other.ZSL","GRA","Below_GRA","Below_GRA_Other","ZSL","","","","","","",""
"LAP","GRA.Clearwater.Lapwai.LAP","GRA","Clearwater","Lapwai","LAP","","","","","","",""
"LAPC","GRA.Clearwater.Lapwai.LAP.LAPC","GRA","Clearwater","Lapwai","LAP","LAPC","","","","","",""
"MIS","GRA.Clearwater.Lapwai.LAP.MIS","GRA","Clearwater","Lapwai","LAP","MIS","","","","","",""
"MISSC","GRA.Clearwater.Lapwai.LAP.MIS.MISSC","GRA","Clearwater","Lapwai","LAP","MIS","MISSC","","","","",""
"SWT","GRA.Clearwater.Lapwai.LAP.SWT","GRA","Clearwater","Lapwai","LAP","SWT","","","","","",""
"SWEETC","GRA.Clearwater.Lapwai.LAP.SWT.SWEETC","GRA","Clearwater","Lapwai","LAP","SWT","SWEETC","","","","",""
"WEB","GRA.Clearwater.Lapwai.LAP.SWT.WEB","GRA","Clearwater","Lapwai","LAP","SWT","WEB","","","","",""
